,股票代码,股票简称,ROE2022,ROE2021,ROE2020,ROE2019,ROE2018
0,688767.SH,博拓生物,33.14,78.03,141.26,25.0,21.11
1,688606.SH,奥泰生物,31.64,30.22,107.35,30.84,32.51
5,688075.SH,安旭生物,76.31,58.16,133.3,40.8,40.59
9,603408.SH,建霖家居,16.9,15.28,21.52,28.6,34.01
10,603369.SH,今世缘,24.73,22.64,20.25,21.93,20.36
11,603360.SH,百傲化学,32.07,25.12,20.74,33.5,19.53
12,603203.SH,快克智能,20.85,22.74,16.4,19.0,19.72
13,603125.SH,常青科技,25.63,24.55,31.19,26.94,20.29
19,600885.SH,宏发股份,17.86,18.19,15.96,15.21,16.82
20,600779.SH,水井坊,39.96,49.85,34.44,41.6,33.72
28,200596,古井贡B,17.93,21.25,19.53,25.55,24.03
29,003043.SZ,华亚智能,16.28,15.5,19.62,17.21,22.36
30,002867.SZ,周大生,18.28,21.33,20.15,22.91,22.18
31,002833.SZ,弘亚数控,19.2,26.69,22.35,23.83,25.42
32,002761.SZ,浙江建投,15.2,18.79,24.73,16.25,19.49
40,002088.SZ,鲁阳节能,21.35,21.73,16.0,16.48,16.08
41,002050.SZ,三花智控,21.38,15.98,15.04,16.08,15.65
43,000858.SZ,五粮液,25.28,25.3,24.94,25.26,22.8
46,000651.SZ,格力电器,24.19,21.34,18.88,25.72,33.36
47,000596.SZ,古井贡酒,17.93,21.25,19.53,25.55,24.03
48,000568.SZ,泸州老窖,33.32,31.15,28.27,25.5,21.81
50,000333.SZ,美的集团,22.21,24.09,24.95,26.43,25.66
51,900905,老凤祥B,17.6,21.74,21.03,21.16,20.26
59,873348.BJ,云沣环境,26.97,33.13,33.21,44.33,36.4
63,872936.BJ,恒欣设计,31.22,18.42,33.78,17.02,15.49
65,872709.BJ,巍特环境,18.33,31.19,75.69,80.9,19.67
66,872677.BJ,天朔医疗,23.09,19.83,22.12,35.12,20.54
68,872523.BJ,权星智控,55.19,54.33,36.16,43.75,41.08
69,872380.BJ,金鑫新能,16.68,18.89,28.42,30.18,46.39
70,872333.BJ,磐电科技,22.2,31.89,29.2,17.78,30.48
71,872304.BJ,天浩科技,41.79,24.75,40.71,66.71,39.44
73,872161.BJ,风行测控,19.33,28.79,50.83,44.06,28.55
82,870879.BJ,元盛塑业,19.05,22.23,35.49,28.49,38.18
85,870690.BJ,中德联信,26.02,15.2,24.44,21.13,33.11
86,870656.BJ,海昇药业,46.77,61.82,64.62,39.22,26.94
89,870532.BJ,储秀网络,22.99,18.67,50.38,59.54,18.17
101,838758.BJ,思迅软件,36.84,49.52,47.1,32.48,37.02
108,838093.BJ,东水食品,18.06,17.04,15.7,21.74,25.6
109,838049.BJ,琅卡博,36.36,21.89,23.8,15.88,19.7
112,837432.BJ,唐彩股份,25.63,23.47,29.13,28.35,30.62
114,837403.BJ,康农种业,18.88,20.84,26.32,23.36,20.22
121,836715.BJ,优力可,26.18,15.09,25.93,26.62,65.62
124,836409.BJ,明峰检测,26.87,25.63,32.06,22.36,20.13
126,836312.BJ,集美新材,38.87,43.03,29.11,41.92,33.2
136,835363.BJ,腾信软创,16.81,30.08,34.7,39.45,31.9
138,835222.BJ,华鼎团膳,22.39,25.97,23.7,22.1,23.15
140,835084.BJ,多麦股份,55.92,50.57,46.63,27.46,69.85
142,835034.BJ,化龙网络,24.15,40.69,42.05,55.16,37.19
144,834327.BJ,车讯互联,15.79,17.64,15.84,15.48,21.23
146,834162.BJ,江平生物,15.47,18.57,18.25,18.49,20.4
150,833440.BJ,新鸿运,18.25,18.23,18.21,15.82,16.96
151,833370.BJ,运鹏股份,27.02,26.18,24.46,30.23,29.82
155,832651.BJ,天罡股份,18.53,21.18,20.26,20.03,17.55
159,832141.BJ,燎原环保,29.27,25.75,22.39,23.27,18.03
162,831682.BJ,金田科技,20.89,20.27,28.99,18.37,24.23
172,688621.SH,阳光诺和,18.88,22.22,47.4,50.73,34.66
176,688383.SH,新益昌,15.56,23.53,20.62,21.51,34.45
177,688298.SH,东方生物,25.03,104.83,106.41,37.13,39.18
181,605123.SH,派克新材,19.88,17.91,16.88,28.4,25.09
185,603868.SH,飞科电器,25.73,22.09,23.69,27.38,34.46
187,603707.SH,健友股份,18.82,25.29,24.46,22.52,19.12
192,603589.SH,口子窖,18.23,22.48,18.1,26.36,27.42
198,603195.SH,公牛集团,27.88,28.28,26.87,52.36,69.6
199,603040.SH,新坐标,15.19,15.18,17.47,17.91,16.42
201,601012.SH,隆基绿能,26.95,21.45,27.23,23.93,16.71
202,600887.SH,伊利股份,19.23,25.59,25.18,26.38,24.33
204,600809.SH,山西汾酒,44.74,42.04,35.09,27.39,24.77
205,600763.SH,通策医疗,17.57,27.93,24.39,29.86,28.29
207,600612.SH,老凤祥,17.6,21.74,21.03,21.16,20.26
213,600132.SH,重庆啤酒,69.25,99.69,45.55,43.66,28.58
228,300760.SZ,迈瑞医疗,33.38,31.92,32.29,27.91,42.16
