,股票代码,股票简称,ROE2022
7,688767.SH,博拓生物,33.14
12,688606.SH,奥泰生物,31.64
13,688575.SH,亚辉龙,51.66
18,688391.SH,钜泉科技,25.69
19,688349.SH,三一重能,21.86
41,688075.SH,安旭生物,76.31
64,603816.SH,顾家家居,21.61
68,603737.SH,三棵树,15.64
90,603486.SH,科沃斯,30.46
91,603408.SH,建霖家居,16.9
93,603369.SH,今世缘,24.73
95,603360.SH,百傲化学,32.07
104,603203.SH,快克智能,20.85
107,603125.SH,常青科技,25.63
112,603100.SH,川仪股份,17.5
120,603026.SH,胜华新材,25.3
130,601918.SH,新集能源,19.56
147,601009.SH,南京银行,15.12
148,601001.SH,晋控煤业,23.03
154,600885.SH,宏发股份,17.86
163,600779.SH,水井坊,39.96
164,600777.SH,新潮能源,22.71
199,600521.SH,华海药业,16.55
209,600392.SH,盛和资源,15.82
218,600340.SH,华夏幸福,28.39
231,600242.SH,*ST中昌,198.21
256,600064.SH,南京高科,15.25
257,600057.SH,厦门象屿,18.06
269,200596,古井贡B,17.93
274,003043.SZ,华亚智能,16.28
291,002867.SZ,周大生,18.28
296,002833.SZ,弘亚数控,19.2
307,002761.SZ,浙江建投,15.2
365,002432.SZ,九安医疗,143.63
381,002346.SZ,柘中股份,17.64
397,002248.SZ,华东数控,16.62
398,002244.SZ,滨江集团,16.94
400,002211.SZ,ST宏达,54.37
401,002210.SZ,飞马国际,41.64
411,002164.SZ,宁波东力,29.21
427,002088.SZ,鲁阳节能,21.35
436,002050.SZ,三花智控,21.38
447,001287.SZ,中电港,15.57
468,000858.SZ,五粮液,25.28
477,000799.SZ,酒鬼酒,27.33
478,000796.SZ,ST凯撒,268.09
492,000651.SZ,格力电器,24.19
505,000596.SZ,古井贡酒,17.93
509,000568.SZ,泸州老窖,33.32
515,000525.SZ,ST红太阳,43.47
526,000333.SZ,美的集团,22.21
545,900905,老凤祥B,17.6
550,873874.BJ,涅生科技,22.46
559,873775.BJ,元方科技,25.08
560,873767.BJ,远图股份,23.75
563,873743.BJ,太湖远大,21.28
564,873734.BJ,康源水务,30.18
571,873612.BJ,联康信息,41.87
575,873528.BJ,城市大脑,24.14
582,873348.BJ,云沣环境,26.97
585,873290.BJ,华之鹏,16.43
586,873270.BJ,创兴精密,37.78
594,873132.BJ,泰鹏智能,48.96
602,872936.BJ,恒欣设计,31.22
608,872845.BJ,万淇股份,47.86
619,872709.BJ,巍特环境,18.33
621,872677.BJ,天朔医疗,23.09
624,872628.BJ,英迪迈,53.05
627,872523.BJ,权星智控,55.19
631,872380.BJ,金鑫新能,16.68
635,872333.BJ,磐电科技,22.2
636,872304.BJ,天浩科技,41.79
638,872220.BJ,乐誓股份,131.26
640,872161.BJ,风行测控,19.33
653,871811.BJ,中能科技,47.43
655,871690.BJ,上源环保,17.47
656,871677.BJ,韶华文化,81.64
659,871540.BJ,飞利达,35.82
680,871091.BJ,豪能科技,22.6
682,871037.BJ,天和环保,19.22
683,870986.BJ,一号农场,19.25
685,870924.BJ,安卡网络,36.24
687,870879.BJ,元盛塑业,19.05
690,870849.BJ,亿安天下,20.39
696,870788.BJ,ST润雅,28.56
700,870690.BJ,中德联信,26.02
701,870656.BJ,海昇药业,46.77
702,870652.BJ,厚基股份,15.28
706,870573.BJ,小布涂涂,25.0
708,870532.BJ,储秀网络,22.99
716,870270.BJ,大酉科技,44.36
721,870154.BJ,伊发电力,22.81
725,870092.BJ,派沃股份,69.58
727,870046.BJ,图腾信息,28.0
735,839717.BJ,九州生态,26.26
737,839684.BJ,创艺园,4577.34
743,839503.BJ,今鼎股份,93.15
748,839253.BJ,红霖股份,16.0
758,839024.BJ,远播教育,19.54
761,838992.BJ,国讯股份,25.58
766,838800.BJ,龙的电器,21.7
768,838758.BJ,思迅软件,36.84
769,838749.BJ,蒲公英,36.4
770,838737.BJ,月新科技,22.7
773,838593.BJ,大唐科技,20.81
776,838497.BJ,中商产业,27.14
778,838419.BJ,威泽智能,24.37
786,838274.BJ,星捷安,19.13
790,838093.BJ,东水食品,18.06
792,838049.BJ,琅卡博,36.36
801,837758.BJ,宏天信业,26.16
805,837662.BJ,恒锐智能,16.19
810,837432.BJ,唐彩股份,25.63
811,837430.BJ,良时智能,21.76
812,837403.BJ,康农种业,18.88
813,837392.BJ,天石纳米,15.76
814,837347.BJ,三清国旅,75.63
825,836976.BJ,杰思股份,110.07
826,836961.BJ,西磁科技,29.09
827,836930.BJ,京城皮肤,24.21
828,836903.BJ,汇东管道,25.21
836,836715.BJ,优力可,26.18
837,836674.BJ,净源科技,25.41
846,836418.BJ,浙商企业,26.79
847,836409.BJ,明峰检测,26.87
852,836342.BJ,正科医药,29.58
854,836312.BJ,集美新材,38.87
858,836210.BJ,苏马游艇,22.2
861,836122.BJ,南深股份,22.19
862,836076.BJ,蛇口船务,34.13
864,835993.BJ,泽衡环保,17.42
868,835909.BJ,双飞人,41.0
870,835843.BJ,ST嗨德,76.96
872,835775.BJ,用尚科技,23.65
876,835680.BJ,西部宝德,33.14
877,835579.BJ,机科股份,17.89
885,835363.BJ,腾信软创,16.81
887,835269.BJ,长兴制药,22.04
889,835222.BJ,华鼎团膳,22.39
896,835087.BJ,桂林恒瑞,72.55
897,835084.BJ,多麦股份,55.92
899,835047.BJ,中融股份,22.34
901,835034.BJ,化龙网络,24.15
909,834696.BJ,海通基业,29.17
921,834327.BJ,车讯互联,15.79
924,834282.BJ,前程股份,18.31
930,834162.BJ,江平生物,15.47
939,833909.BJ,ST中丹,23.71
947,833786.BJ,超纯环保,25.03
949,833746.BJ,宏中药业,57.09
957,833440.BJ,新鸿运,18.25
958,833370.BJ,运鹏股份,27.02
961,833320.BJ,启迪图卫,24.6
962,833305.BJ,万仕隆,21.01
968,833183.BJ,超凡股份,22.55
988,832651.BJ,天罡股份,18.53
993,832494.BJ,首航直升,58.8
996,832471.BJ,美邦科技,15.24
1002,832266.BJ,首帆动力,25.98
1005,832141.BJ,燎原环保,29.27
1009,832014.BJ,绿之彩,17.92
1024,831830.BJ,和创化学,70.31
1029,831682.BJ,金田科技,20.89
1030,831642.BJ,蜀虹装备,34.64
1041,831490.BJ,成电光信,29.67
1048,831431.BJ,东南光电,189.17
1049,831382.BJ,智创联合,44.61
1051,831346.BJ,木联能,20.24
1060,831260.BJ,东方碾磨,28.14
1064,831122.BJ,永信科技,23.93
1085,688707.SH,振华新材,36.36
1087,688696.SH,极米科技,17.15
1096,688621.SH,阳光诺和,18.88
1101,688559.SH,海目星,21.27
1105,688516.SH,奥特维,37.76
1114,688389.SH,普门科技,18.75
1115,688383.SH,新益昌,15.56
1123,688298.SH,东方生物,25.03
1124,688271.SH,联影医疗,17.48
1148,688068.SH,热景生物,30.41
1149,688061.SH,灿瑞科技,16.12
1168,605123.SH,派克新材,19.88
1175,603939.SH,益丰药房,15.82
1179,603906.SH,龙蟠科技,21.12
1186,603876.SH,鼎胜新材,24.39
1187,603868.SH,飞科电器,25.73
1194,603799.SH,华友钴业,17.15
1201,603707.SH,健友股份,18.82
1206,603665.SH,康隆达,19.81
1211,603613.SH,国联股份,23.17
1212,603612.SH,索通发展,18.57
1213,603600.SH,永艺股份,20.98
1214,603589.SH,口子窖,18.23
1218,603456.SH,九洲药业,18.69
1221,603380.SH,易德龙,15.05
1228,603277.SH,银都股份,18.3
1231,603233.SH,大参林,17.87
1232,603229.SH,奥翔药业,17.36
1236,603195.SH,公牛集团,27.88
1245,603040.SH,新坐标,15.19
1261,601216.SH,君正集团,17.37
1274,601012.SH,隆基绿能,26.95
1282,600887.SH,伊利股份,19.23
1289,600815.SH,厦工股份,18.56
1290,600809.SH,山西汾酒,44.74
1294,600763.SH,通策医疗,17.57
1301,600661.SH,昂立教育,65.68
1308,600612.SH,老凤祥,17.6
